race_id,course_type,distance,weather,condition,year,month,day,rank,waku,umaban,horse_name,horse_id,jockey,jockey_id,trainer,trainer_id,horse_weight,weight_diff,time,passing,last_3f,odds,popularity
201905010101,dirt,1300,sunny,good,2019,1,26,1,8,16,ロードシュタルク,2016101148,ミナリク,05517,高柳瑞樹,01118,444,-2,1:21.7,4-5,38.5,18.8,6
201905010101,dirt,1300,sunny,good,2019,1,26,2,2,3,コウユークロガヨカ,2016100101,大野拓弥,01096,竹内正洋,01152,472,0,1:21.7,2-2,38.8,2.3,1
201905010101,dirt,1300,sunny,good,2019,1,26,3,5,10,プリマヴォルタ,2016100802,マーフィ,05575,矢野英一,01108,428,+10,1:22.1,4-3,39.1,3.4,2
201905010101,dirt,1300,sunny,good,2019,1,26,4,4,7,シュンラン,2016100803,荻野極,01160,小桧山悟,01005,440,+8,1:22.2,8-10,38.0,17.0,5
201905010101,dirt,1300,sunny,good,2019,1,26,5,7,13,モリトイナセ,2016106277,武士沢友,01029,堀井雅広,00436,466,-4,1:22.4,14-14,37.5,240.1,16
201905010101,dirt,1300,sunny,good,2019,1,26,6,1,1,トモジャドット,2016100630,石川裕紀,01150,小笠倫弘,01076,534,0,1:22.4,1-1,39.7,8.5,4
201905010101,dirt,1300,sunny,good,2019,1,26,7,8,15,マイティウェイ,2016101490,武藤雅,01169,高木登,01088,486,+4,1:23.0,7-6,39.3,6.3,3
201905010101,dirt,1300,sunny,good,2019,1,26,8,3,6,ペイトリアーキー,2016103349,西田雄一,01004,高柳瑞樹,01118,434,0,1:23.4,15-15,38.2,56.3,9
201905010101,dirt,1300,sunny,good,2019,1,26,9,4,8,タカラチーター,2016103511,三浦皇成,01122,藤原辰雄,00435,452,-4,1:23.4,13-12,38.9,60.7,10
201905010101,dirt,1300,sunny,good,2019,1,26,10,5,9,コスモアドム,2016100705,柴田大知,01009,畠山吉宏,01048,486,-4,1:23.9,10-6,40.2,23.8,7
201905010101,dirt,1300,sunny,good,2019,1,26,11,6,12,スタンニングモガ,2016104327,北村宏司,01043,大和田成,01124,428,-4,1:24.3,10-9,40.4,27.3,8
201905010101,dirt,1300,sunny,good,2019,1,26,12,1,2,アーチンガイ,2016104105,野中悠太,01158,伊藤圭三,01023,490,+20,1:24.3,8-11,40.0,99.7,11
201905010101,dirt,1300,sunny,good,2019,1,26,13,6,11,カシノトランキーロ,2016109026,木幡初也,01153,天間昭一,01090,492,+10,1:24.3,6-6,40.5,163.3,13
201905010101,dirt,1300,sunny,good,2019,1,26,14,2,4,キタノローズ,2016100062,江田照男,00689,天間昭一,01090,414,-6,1:25.1,2-3,42.1,144.0,12
201905010101,dirt,1300,sunny,good,2019,1,26,15,3,5,ノアトレジャー,2016101276,嘉藤貴行,01051,高市圭二,01014,410,-2,1:25.1,16-16,39.4,214.9,15
201905010101,dirt,1300,sunny,good,2019,1,26,16,7,14,マインナナ,2016106223,宮崎北斗,01118,萱野浩二,01024,388,0,1:26.0,10-12,41.5,206.5,14
201905010102,dirt,1400,sunny,good,2019,1,26,1,6,11,ダンホーキラー,2016100923,三浦皇成,01122,鹿戸雄一,01097,436,0,1:28.6,3-3,37.1,5.3,2
201905010102,dirt,1400,sunny,good,2019,1,26,2,5,9,ペイシャジュエル,2016100990,山田敬士,01173,松永康利,01093,474,0,1:29.1,12-11,37.0,21.9,9
201905010102,dirt,1400,sunny,good,2019,1,26,3,2,4,カッチョエペペ,2016100181,木幡巧也,01162,牧光二,01106,442,0,1:29.3,1-1,38.1,12.1,6
201905010102,dirt,1400,sunny,good,2019,1,26,4,6,12,ガウナ,2016102460,田中勝春,00684,久保田貴,01067,488,0,1:30.1,6-6,38.3,9.9,5
201905010102,dirt,1400,sunny,good,2019,1,26,5,3,5,ヤマトフェニックス,2016102477,勝浦正樹,01025,田村康仁,01027,454,0,1:30.2,2-2,38.8,2.7,1
201905010102,dirt,1400,sunny,good,2019,1,26,6,1,1,キンシロウ,2016103476,嘉藤貴行,01051,岩戸孝樹,01051,494,0,1:30.2,9-6,38.4,7.6,3
201905010102,dirt,1400,sunny,good,2019,1,26,7,8,15,ワンダースピリッツ,2016105902,武藤雅,01169,中舘英二,01153,442,0,1:30.2,6-6,38.4,13.7,8
201905010102,dirt,1400,sunny,good,2019,1,26,8,4,8,バームブラック,2016100741,宮崎北斗,01118,清水英克,01080,422,0,1:30.3,13-11,38.2,60.3,10
201905010102,dirt,1400,sunny,good,2019,1,26,9,3,6,アイアンユウキャン,2016101329,江田照男,00689,本間忍,01056,536,0,1:30.5,10-10,38.5,8.7,4
201905010102,dirt,1400,sunny,good,2019,1,26,10,1,2,ヒロリリイブ,2016100219,伊藤工真,01119,金成貴史,01132,496,0,1:30.6,3-3,39.0,12.6,7
201905010102,dirt,1400,sunny,good,2019,1,26,11,7,14,マロンクルール,2016105494,柴田善臣,00641,堀井雅広,00436,404,0,1:30.7,3-3,39.1,61.3,11
201905010102,dirt,1400,sunny,good,2019,1,26,12,2,3,ラスボス,2016106564,的場勇人,01108,田島俊明,01112,484,0,1:30.9,15-15,37.8,93.0,13
201905010102,dirt,1400,sunny,good,2019,1,26,13,7,13,チヨビッグシー,2016105248,村田一誠,01031,古賀史生,00392,426,0,1:31.1,14-13,38.6,111.5,14
201905010102,dirt,1400,sunny,good,2019,1,26,14,4,7,キョウエイパントル,2016101570,北村宏司,01043,中川公成,01081,416,0,1:32.3,16-15,39.1,89.3,12
201905010102,dirt,1400,sunny,good,2019,1,26,15,8,16,スパローリズム,2016105646,杉原誠人,01135,天間昭一,01090,440,0,1:32.3,10-13,39.7,151.8,15
201905010102,dirt,1400,sunny,good,2019,1,26,16,5,10,ブリリアントモア,2016102718,西村太一,01131,伊藤伸一,01031,458,0,1:32.5,6-6,40.7,283.7,16
201905010103,dirt,1600,sunny,good,2019,1,26,1,4,7,リーヴル,2016104378,三浦皇成,01122,萩原清,01017,484,+8,1:39.9,7-4,37.8,6.2,3
201905010103,dirt,1600,sunny,good,2019,1,26,2,1,1,トゥーフラッシー,2016104029,蛯名正義,00663,高市圭二,01014,460,+2,1:39.9,8-8,37.6,3.9,2
201905010103,dirt,1600,sunny,good,2019,1,26,3,6,12,オンザウェイ,2016105181,田辺裕信,01075,大和田成,01124,522,+8,1:40.0,2-2,38.2,12.8,6
201905010103,dirt,1600,sunny,good,2019,1,26,4,3,6,マックスアドバンス,2016105219,北村宏司,01043,勢司和浩,01047,488,-12,1:41.6,4-7,39.4,35.9,9
201905010103,dirt,1600,sunny,good,2019,1,26,5,6,11,ボヘミアラプソディ,2016105723,マーフィ,05575,伊藤圭三,01023,476,-2,1:41.8,10-8,39.4,3.1,1
201905010103,dirt,1600,sunny,good,2019,1,26,6,7,13,パーティーアニマル,2016101830,木幡巧也,01162,伊藤伸一,01031,438,-4,1:42.2,13-12,39.5,207.1,14
201905010103,dirt,1600,sunny,good,2019,1,26,7,8,15,アービルビエント,2016106443,荻野極,01160,小桧山悟,01005,512,0,1:42.4,1-1,40.7,12.1,5
201905010103,dirt,1600,sunny,good,2019,1,26,8,5,9,ユイノコッペパン,2016100146,大野拓弥,01096,竹内正洋,01152,440,+16,1:42.5,8-8,40.2,16.0,7
201905010103,dirt,1600,sunny,good,2019,1,26,9,4,8,タカラパーティ,2016102213,横山和生,01140,藤原辰雄,00435,510,0,1:42.9,16-16,39.7,50.6,10
201905010103,dirt,1600,sunny,good,2019,1,26,10,1,2,カメットテソーロ,2016100867,菊沢一樹,01161,畠山吉宏,01048,526,+16,1:43.1,4-4,41.0,16.1,8
